run,arm,seed,replica_id,log_id,last_write_ms,converged_ms,convergence_ms
1,loaded-http-heavy,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,53001.4,53203.5,202.1
1,loaded-http-heavy,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,53001.4,53194.2,192.8
1,loaded-http-heavy,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,53001.4,53194.9,193.5
1,loaded-http-heavy,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,53001.4,53195.9,194.5
1,loaded-http-heavy,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,53001.4,53190.2,188.7
2,loaded-http-heavy,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,55482.7,55685.0,202.3
2,loaded-http-heavy,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,55482.7,55672.2,189.5
2,loaded-http-heavy,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,55482.7,55675.6,192.9
2,loaded-http-heavy,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,55482.7,55677.6,194.9
2,loaded-http-heavy,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,55482.7,55677.1,194.4
3,loaded-http-heavy,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,57956.1,58158.6,202.5
3,loaded-http-heavy,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,57956.1,58144.9,188.7
3,loaded-http-heavy,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,57956.1,58147.1,190.9
3,loaded-http-heavy,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,57956.1,58151.9,195.8
3,loaded-http-heavy,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,57956.1,58148.1,191.9
4,loaded-http-heavy,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,60439.9,60643.8,203.9
4,loaded-http-heavy,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,60439.9,60641.8,201.9
4,loaded-http-heavy,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,60439.9,60627.6,187.6
4,loaded-http-heavy,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,60439.9,60628.9,189.0
4,loaded-http-heavy,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,60439.9,60628.0,188.0
5,loaded-http-heavy,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,62931.6,63135.1,203.5
5,loaded-http-heavy,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,62931.6,63124.4,192.7
5,loaded-http-heavy,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,62931.6,63132.0,200.4
