elapsed_s,replica_id,host,reachable,roster_size,stable_prefix,delivered_ops,retained_ops,pending_ops,known_replicas,peer_count,ops_applied,state_md5
37,b65ee3528dfd,b65ee3528dfd,1,4,129,133,4,0,4,3,33,fb7d2487393f2a907f37d16244434477
37,ff57919fded3,ff57919fded3,1,4,129,133,4,0,4,3,33,fb7d2487393f2a907f37d16244434477
37,413641414fef,413641414fef,1,4,129,133,4,0,4,3,33,fb7d2487393f2a907f37d16244434477
39,779777a69aa2,779777a69aa2,1,4,133,137,4,0,4,3,35,95f4be1ee65af71fdc2a7c4a1cfb2628
39,b65ee3528dfd,b65ee3528dfd,1,4,133,137,4,0,4,3,34,95f4be1ee65af71fdc2a7c4a1cfb2628
39,ff57919fded3,ff57919fded3,1,4,133,137,4,0,4,3,34,95f4be1ee65af71fdc2a7c4a1cfb2628
39,413641414fef,413641414fef,1,4,133,137,4,0,4,3,34,95f4be1ee65af71fdc2a7c4a1cfb2628
40,779777a69aa2,779777a69aa2,1,4,137,141,4,0,4,3,36,213cb2bf4ed416423a8bcc0b1e5e37da
40,b65ee3528dfd,b65ee3528dfd,1,4,137,141,4,0,4,3,35,213cb2bf4ed416423a8bcc0b1e5e37da
40,ff57919fded3,ff57919fded3,1,4,137,141,4,0,4,3,35,213cb2bf4ed416423a8bcc0b1e5e37da
40,413641414fef,413641414fef,1,4,137,141,4,0,4,3,35,213cb2bf4ed416423a8bcc0b1e5e37da
41,779777a69aa2,779777a69aa2,1,4,141,145,4,0,4,3,37,55d4c581d32ea9d00968288d439afc89
41,b65ee3528dfd,b65ee3528dfd,1,4,141,145,4,0,4,3,36,55d4c581d32ea9d00968288d439afc89
41,ff57919fded3,ff57919fded3,1,4,141,145,4,0,4,3,36,55d4c581d32ea9d00968288d439afc89
41,413641414fef,413641414fef,1,4,141,145,4,0,4,3,36,55d4c581d32ea9d00968288d439afc89
42,779777a69aa2,779777a69aa2,1,4,145,149,4,0,4,3,38,92b57c8eb93404f8edfda05f70ecca07
42,b65ee3528dfd,b65ee3528dfd,1,4,145,149,4,0,4,3,37,92b57c8eb93404f8edfda05f70ecca07
42,ff57919fded3,ff57919fded3,1,4,145,149,4,0,4,3,37,92b57c8eb93404f8edfda05f70ecca07
42,413641414fef,413641414fef,1,4,145,149,4,0,4,3,37,92b57c8eb93404f8edfda05f70ecca07
43,779777a69aa2,779777a69aa2,1,4,149,153,4,0,4,3,39,d22a1e6818613fe99bf8d0d33fdf3912
43,b65ee3528dfd,b65ee3528dfd,1,4,149,153,4,0,4,3,38,281b7758fb3ac409a4871acb98ccff52
43,ff57919fded3,ff57919fded3,1,4,150,156,6,0,4,3,39,0ae0e835de520e4891f611c41d1b5ef1
43,413641414fef,413641414fef,1,4,153,157,4,0,4,3,39,0ae0e835de520e4891f611c41d1b5ef1
44,779777a69aa2,779777a69aa2,1,4,157,161,4,0,4,3,41,0159c7b45e42dc89af15e37cb3ab7e4f
44,b65ee3528dfd,b65ee3528dfd,1,4,157,161,4,0,4,3,40,0159c7b45e42dc89af15e37cb3ab7e4f
44,ff57919fded3,ff57919fded3,1,4,157,161,4,0,4,3,40,0159c7b45e42dc89af15e37cb3ab7e4f
44,413641414fef,413641414fef,1,4,157,161,4,0,4,3,40,0159c7b45e42dc89af15e37cb3ab7e4f
46,779777a69aa2,779777a69aa2,1,4,161,165,4,0,4,3,42,8eaf6503438875a609f92565072cb809
46,b65ee3528dfd,b65ee3528dfd,1,4,161,165,4,0,4,3,41,8eaf6503438875a609f92565072cb809
46,ff57919fded3,ff57919fded3,1,4,161,165,4,0,4,3,41,8eaf6503438875a609f92565072cb809
46,413641414fef,413641414fef,1,4,161,165,4,0,4,3,41,8eaf6503438875a609f92565072cb809
47,779777a69aa2,779777a69aa2,1,4,165,169,4,0,4,3,43,94c76f68efe221d54f4bc8cb2bc52dda
47,b65ee3528dfd,b65ee3528dfd,1,4,165,169,4,0,4,3,42,94c76f68efe221d54f4bc8cb2bc52dda
47,ff57919fded3,ff57919fded3,1,4,165,169,4,0,4,3,42,94c76f68efe221d54f4bc8cb2bc52dda
47,413641414fef,413641414fef,1,4,165,169,4,0,4,3,42,94c76f68efe221d54f4bc8cb2bc52dda
48,779777a69aa2,779777a69aa2,1,4,169,173,4,0,4,3,44,848d51d2045e43ddabae28085183b443
48,b65ee3528dfd,b65ee3528dfd,1,4,169,173,4,0,4,3,43,848d51d2045e43ddabae28085183b443
48,ff57919fded3,ff57919fded3,1,4,169,173,4,0,4,3,43,848d51d2045e43ddabae28085183b443
48,413641414fef,413641414fef,1,4,169,173,4,0,4,3,43,848d51d2045e43ddabae28085183b443
49,779777a69aa2,779777a69aa2,1,4,173,177,4,0,4,3,45,674c6ca1b44d5432ec4bdd4ee292c155
49,b65ee3528dfd,b65ee3528dfd,1,4,173,177,4,0,4,3,44,674c6ca1b44d5432ec4bdd4ee292c155
49,ff57919fded3,ff57919fded3,1,4,173,177,4,0,4,3,44,674c6ca1b44d5432ec4bdd4ee292c155
49,413641414fef,413641414fef,1,4,173,177,4,0,4,3,44,674c6ca1b44d5432ec4bdd4ee292c155
50,779777a69aa2,779777a69aa2,1,4,177,181,4,0,4,3,46,43371c00b7a0d1aa0bbf1da43b7febe4
50,b65ee3528dfd,b65ee3528dfd,1,4,177,181,4,0,4,3,45,43371c00b7a0d1aa0bbf1da43b7febe4
50,ff57919fded3,ff57919fded3,1,4,177,181,4,0,4,3,45,43371c00b7a0d1aa0bbf1da43b7febe4
50,413641414fef,413641414fef,1,4,177,181,4,0,4,3,45,43371c00b7a0d1aa0bbf1da43b7febe4
51,779777a69aa2,779777a69aa2,1,4,181,185,4,0,4,3,47,65488fc519b186e9c31d8f7e4eecffdf
