elapsed_s,replica_id,host,reachable,roster_size,stable_prefix,delivered_ops,retained_ops,pending_ops,known_replicas,peer_count,ops_applied,state_md5
50,3e42fdfd9872,3e42fdfd9872,1,4,180,184,4,0,4,3,46,7b4d293a306b3d5ba6e8ee3d5c41eec5
50,c511bb7c0632,c511bb7c0632,1,4,180,184,4,0,4,3,46,7b4d293a306b3d5ba6e8ee3d5c41eec5
50,33b44baa950d,33b44baa950d,1,4,180,184,4,0,4,3,46,7b4d293a306b3d5ba6e8ee3d5c41eec5
50,f5d6495eab40,f5d6495eab40,1,4,180,184,4,0,4,3,46,7b4d293a306b3d5ba6e8ee3d5c41eec5
52,3e42fdfd9872,3e42fdfd9872,1,4,184,188,4,0,4,3,47,6fff1c289e9029afe65a9547477b1f28
52,c511bb7c0632,c511bb7c0632,1,4,184,188,4,0,4,3,47,6fff1c289e9029afe65a9547477b1f28
52,33b44baa950d,33b44baa950d,1,4,184,188,4,0,4,3,47,6fff1c289e9029afe65a9547477b1f28
52,f5d6495eab40,f5d6495eab40,1,4,184,188,4,0,4,3,47,6fff1c289e9029afe65a9547477b1f28
53,3e42fdfd9872,3e42fdfd9872,1,4,188,192,4,0,4,3,48,3e5a46d97fa16c4e8ec49a70db24ffbd
53,c511bb7c0632,c511bb7c0632,1,4,188,192,4,0,4,3,48,3e5a46d97fa16c4e8ec49a70db24ffbd
53,33b44baa950d,33b44baa950d,1,4,188,192,4,0,4,3,48,3e5a46d97fa16c4e8ec49a70db24ffbd
53,f5d6495eab40,f5d6495eab40,1,4,188,192,4,0,4,3,48,3e5a46d97fa16c4e8ec49a70db24ffbd
54,3e42fdfd9872,3e42fdfd9872,1,4,192,196,4,0,4,3,49,225260c5409fb56551049f07a0325b82
54,c511bb7c0632,c511bb7c0632,1,4,192,196,4,0,4,3,49,225260c5409fb56551049f07a0325b82
54,33b44baa950d,33b44baa950d,1,4,192,196,4,0,4,3,49,225260c5409fb56551049f07a0325b82
54,f5d6495eab40,f5d6495eab40,1,4,192,196,4,0,4,3,49,225260c5409fb56551049f07a0325b82
55,3e42fdfd9872,3e42fdfd9872,1,4,196,200,4,0,4,3,50,1823f5a5c52bb8472de237039f110b0f
55,c511bb7c0632,c511bb7c0632,1,4,196,200,4,0,4,3,50,1823f5a5c52bb8472de237039f110b0f
